Nombre,Provincia,Término_M,Duchas,Aseos,Acceso_dis,Bandera_az,Longitud,X,Y,Grado_ocup,Grado_urba
El Bigaral,Asturias,Gozón,No,No,No,No,160 metros,-642636.288400002,5404732.3499,Bajo,Aislada
Gargantera,Asturias,Gozón,No,No,No,No,200 metros,-643048.170499999,5404701.6027,Bajo,Aislada
Llumeres,Asturias,Gozón,Sí,No,No,No,450 metros,-649059.423,5409883.9431,Bajo,Aislada
Moniello,Asturias,Gozón,Sí,No,No,No,80 metros,-645018.5255,5408253.5762,Medio,Semiurbana
La Ribera,Asturias,Gozón,No,No,Sí,No,200 metros,-644751.3587,5406008.4473,Bajo,Urbana
Samarincha,Asturias,Gozón,No,No,No,No,120 metros,-644484.1919,5405639.4372,Bajo,Semiurbana
Samarinchina,Asturias,Gozón,No,No,No,No,20 metros,-644573.247499999,5405747.0636,Bajo,Urbana
Luanco,Asturias,Gozón,Sí,Sí,Sí,No,310 metros,-644361.740499999,5406592.7434,Alto,Urbana
Tenrero,Asturias,Gozón,Sí,No,No,No,330 metros,-654135.591800001,5407484.6351,Alto,Urbana
Viodo,Asturias,Gozón,No,No,No,No,80 metros,-649593.7566,5410468.4842,Bajo,Aislada
Xagó,Asturias,Gozón,Sí,Sí,No,No,1.700 metros,-658421.392200001,5404609.3618,Alto,Semiurbana
Andrín,Asturias,Llanes,Sí,No,Sí,No,240 metros,-524036.502900001,5374603.0354,Medio,Semiurbana
Ballota,Asturias,Llanes,No,No,No,No,350 metros,-524648.7601,5374817.5696,Medio,Semiurbana
Barro,Asturias,Llanes,Sí,Sí,Sí,No,250 metros,-537060.883299999,5378542.0597,Alto,Urbana
Borizo,Asturias,Llanes,Sí,No,Sí,No,400 metros,-535869.764800001,5378373.4291,Alto,Semiurbana
Buelna,Asturias,Llanes,No,No,Sí,No,50 metros,-514129.0682,5372350.7263,Alto,Semiurbana
Cobijeru,Asturias,Llanes,No,No,No,No,30 metros,-513182.852600001,5372442.6465,Medio,Aislada
Cué,Asturias,Llanes,Sí,No,No,No,380 metros,-526563.455400001,5375583.8034,Medio,Semiurbana
Cuevas del Mar,Asturias,Llanes,Sí,Sí,No,No,125 metros,-549651.117699999,5381669.9472,Alto,Semiurbana
El Portiello de San Martín,Asturias,Llanes,No,No,No,No,35 metros,-534066.388999999,5377913.543,Bajo,Aislada
El Sablón,Asturias,Llanes,Sí,Sí,No,No,100 metros,-529123.803599998,5376518.6944,Alto,Urbana
Guadamía,Asturias,Ribadesella,No,No,Sí,No,80 metros,-554604.835099999,5381915.3163,Medio,Semiurbana
Guadamía,Asturias,Llanes,No,No,Sí,No,80 metros,-554549.175299998,5381485.9246,Medio,Semiurbana
Gulpiyuri,Asturias,Llanes,No,No,No,No,40 metros,-543884.768100001,5380320.533,Bajo,Aislada
La Acacia,Asturias,Llanes,No,No,No,No,100 metros,-509631.7608,5372442.6465,Bajo,Aislada
La Almenada,Asturias,Llanes,No,No,No,No,80 metros,-532864.138500001,5377729.5949,Medio,Aislada
La Entrada,Asturias,Llanes,No,No,No,No,50 metros,-538285.397700001,5379139.9567,Bajo,Semiurbana
La Huelga,Asturias,Llanes,No,No,No,No,62 metros,-545409.845100001,5380581.2,Alto,Aislada
La Talá,Asturias,Llanes,No,No,No,No,40 metros,-530415.109700002,5377039.8221,Bajo,Semiurbana
La Tayada,Asturias,Llanes,No,No,No,No,100 metros,-536103.535700001,5378909.9918,Medio,Aislada
Las Cámaras,Asturias,Llanes,Sí,No,Sí,No,100 metros,-535313.167300001,5377852.2265,Alto,Urbana
Toranda,Asturias,Llanes,Sí,Sí,No,No,300 metros,-538786.3354,5379323.9327,Alto,Semiurbana
Palombina,Asturias,Llanes,Sí,No,Sí,No,300 metros,-535446.750700001,5378066.8358,Alto,Urbana
Pendueles,Asturias,Llanes,No,No,No,No,150 metros,-515409.242400002,5372856.2991,Medio,Aislada
Pestaña,Asturias,Llanes,No,No,No,No,100 metros,-540522.919500001,5379753.2244,Medio,Aislada
Poo,Asturias,Llanes,Sí,No,No,No,150 metros,-532519.048099998,5377545.6505,Alto,Semiurbana
Portiellu de Cué,Asturias,Llanes,No,No,No,No,100 metros,-527676.6503,5375369.2516,Medio,Aislada
Puerto Chico,Asturias,Llanes,Sí,No,No,No,150 metros,-528522.678399999,5375966.9441,Alto,Urbana
San Antolín,Asturias,Llanes,Sí,No,No,No,1.200 metros,-542849.4969,5379507.9124,Alto,Semiurbana
San Antonio,Asturias,Llanes,No,No,No,No,70 metros,-548649.2423,5382176.0282,Alto,Aislada
San Martín,Asturias,Llanes,No,No,No,No,750 metros,-533442.999899998,5377790.9105,Medio,Aislada
Sevalle,Asturias,Llanes,No,No,No,No,160 metros,-538864.259100001,5379707.2279,Medio,Semiurbana
Sorraos,Asturias,Llanes,Sí,Sí,No,No,100 metros,-536860.508200001,5378526.7296,Alto,Semiurbana
Torimbia,Asturias,Llanes,Sí,No,No,No,500 metros,-540456.127799999,5379553.9079,Medio,Aislada
Toró,Asturias,Llanes,Sí,Sí,Sí,No,220 metros,-528121.928199999,5375553.1529,Alto,Semiurbana
Troenzo,Asturias,Llanes,No,No,No,No,120 metros,-536281.646899998,5378557.39,Alto,Semiurbana
Valle,Asturias,Llanes,No,No,No,No,120 metros,-538830.863200001,5379891.2152,Medio,Semiurbana
Vidiago,Asturias,Llanes,No,No,No,No,200 metros,-517925.062899999,5373116.7565,Alto,Semiurbana
Villanueva,Asturias,Llanes,No,No,No,No,20 metros,-550474.881999999,5382053.3393,Medio,Semiurbana
Xiglu,Asturias,Llanes,No,No,No,No,30 metros,-537439.369600002,5378818.0074,Alto,Urbana
Aguilar,Asturias,Muros de Nalón,Sí,Sí,Sí,Sí,360 metros,-680896.797400001,5396833.6891,Alto,Semiurbana
Campofrío,Asturias,Muros de Nalón,No,No,No,No,250 metros,-681453.3948,5396941.2132,Medio,Semiurbana
Cazonera,Asturias,Muros de Nalón,No,No,No,No,350 metros,-678803.991,5397294.5152,Medio,Aislada
El Focarón,Asturias,Muros de Nalón,No,No,No,No,50 metros,-677534.948800001,5397893.6235,Bajo,Aislada
El Garruncho,Asturias,Muros de Nalón,No,No,No,No,50 metros,-677134.198600002,5398154.7853,Bajo,Aislada
La Atalaya,Asturias,Muros de Nalón,No,No,No,No,720 metros,-678069.282299999,5397417.4061,Medio,Aislada
La Guardada,Asturias,Muros de Nalón,No,No,No,No,60 metros,-676867.031800002,5398354.5023,Bajo,Semiurbana
Las Llanas,Asturias,Muros de Nalón,No,No,No,No,500 metros,-679560.963500001,5397340.5991,Bajo,Aislada
Xilo,Asturias,Muros de Nalón,No,No,No,No,100 metros,-680618.4987,5396756.887,Medio,Semiurbana
Xan-Xun,Asturias,Muros de Nalón,No,No,No,No,180 metros,-680073.033199999,5396971.9346,Bajo,Aislada
Mendía,Asturias,Ribadedeva,No,No,No,No,480 metros,-507371.975099999,5371983.0542,Bajo,Aislada
Merón,Asturias,Villaviciosa,Sí,No,No,No,200 metros,-611611.546300001,5395067.4016,Medio,Aislada
Misiego,Asturias,Villaviciosa,No,No,Sí,No,1.100 metros,-599444.326000001,5392564.4581,Medio,Semiurbana
La Ñora,Asturias,Villaviciosa,Sí,Sí,No,Sí,250 metros,-622231.425700001,5395543.4981,Alto,Semiurbana
Rodiles,Asturias,Villaviciosa,Sí,Sí,Sí,Sí,1.100 metros,-598609.4298,5393362.8697,Alto,Semiurbana
Tazones,Asturias,Villaviciosa,Sí,No,No,No,100 metros,-601091.854400001,5395251.6941,Medio,Urbana
San Marcos,Santa Cruz de Tenerife,Agulo,No,Sí,No,No,150 metros,-1914372.4151,3273997.965,Bajo,Aislada
La Negra,Santa Cruz de Tenerife,Alajeró,No,No,No,No,250 metros,-1924836.4473,3254850.2548,Bajo,Aislada
La Cantera,Santa Cruz de Tenerife,Alajeró,No,No,No,No,300 metros,-1922821.5645,3253500.7126,Bajo,Aislada
Torviscas,Santa Cruz de Tenerife,Adeje,Sí,Sí,Sí,Sí,290 metros,-1863065.2618,3259328.6699,Alto,Urbana
El Bobo,Santa Cruz de Tenerife,Adeje,Sí,No,Sí,No,130 metros,-1862697.9075,3258041.7625,Alto,Urbana
La Pinta,Santa Cruz de Tenerife,Adeje,Sí,No,Sí,No,180 metros,-1862965.0743,3259038.4743,Alto,Urbana
Troya,Santa Cruz de Tenerife,Adeje,Sí,Sí,Sí,No,400 metros,-1862720.1714,3257625.4363,Alto,Urbana
La Tejita,Santa Cruz de Tenerife,Granadilla de Abona,No,Sí,No,No,1.000 metros,-1842738.3228,3252907.9655,Medio,Aislada
Montaña Roja,Santa Cruz de Tenerife,Granadilla de Abona,No,No,No,No,50 metros,-1841502.6764,3253399.8177,Medio,Aislada
Arra,Asturias,Ribadesella,No,No,No,No,320 metros,-558022.343400002,5382053.3393,Bajo,Aislada
La Atalaya,Asturias,Ribadesella,Sí,Sí,Sí,No,100 metros,-562764.553800002,5382896.8578,Bajo,Urbana
Santa Marina,Asturias,Ribadesella,Sí,Sí,Sí,No,1.150 metros,-563844.3528,5383172.935,Alto,Urbana
Vega,Asturias,Ribadesella,Sí,Sí,Sí,No,1.440 metros,-571581.057399999,5385412.5322,Medio,Semiurbana
Los Quebrantos,Asturias,Soto del Barco,Sí,Sí,Sí,No,810 metros,-674963.468499999,5398369.8654,Alto,Semiurbana
Peñarronda,Asturias,Tapia de Casariego,Sí,Sí,Sí,Sí,600 metros,-778501.7269,5396495.7646,Alto,Urbana
El Figo,Asturias,Tapia de Casariego,No,No,No,No,200 metros,-772768.7731,5399476.0702,Bajo,Aislada
El Murallón,Asturias,Tapia de Casariego,Sí,Sí,Sí,No,75 metros,-773458.954,5398876.8595,Alto,Urbana
La Grande,Asturias,Tapia de Casariego,Sí,Sí,Sí,No,410 metros,-773414.426199999,5398431.3177,Alto,Urbana
La Paloma,Asturias,Tapia de Casariego,Sí,No,Sí,No,170 metros,-774427.433600001,5398077.9723,Medio,Aislada
La Reburdia,Asturias,Tapia de Casariego,No,No,No,No,50 metros,-774026.683400001,5398661.7677,Medio,Semiurbana
Mexota,Asturias,Tapia de Casariego,No,No,No,No,240 metros,-777154.761100002,5397233.0704,Medio,Aislada
Pantorgas,Asturias,Tapia de Casariego,Sí,No,Sí,No,220 metros,-777967.393399999,5396910.4919,Medio,Semiurbana
Represas,Asturias,Tapia de Casariego,No,No,No,No,330 metros,-772423.682700001,5399199.5066,Bajo,Semiurbana
Sarello,Asturias,Tapia de Casariego,No,No,No,No,190 metros,-776676.087299999,5397033.3776,Medio,Aislada
Serantes,Asturias,Tapia de Casariego,Sí,Sí,Sí,No,200 metros,-776408.920499999,5396879.7707,Alto,Aislada
Barayo,Asturias,Valdés,No,No,No,No,670 metros,-736200.3204,5397555.6602,Medio,Aislada
Bozo,Asturias,Valdés,No,No,No,No,270 metros,-720593.327799998,5398108.6974,Bajo,Aislada
Cadavedo,Asturias,Valdés,Sí,Sí,Sí,Sí,440 metros,-709272.135600001,5396250.009,Alto,Semiurbana
Campiecho,Asturias,Valdés,No,No,No,No,450 metros,-711687.7685,5397325.2378,Bajo,Aislada
Carretón,Asturias,Valdés,No,No,No,No,300 metros,-722886.509300001,5395927.4647,Bajo,Aislada
Castiel,Asturias,Valdés,No,No,No,No,50 metros,-728252.108800001,5396342.1666,Bajo,Aislada
Chousera,Asturias,Valdés,No,No,No,No,170 metros,-726103.6426,5396050.3374,Bajo,Aislada
Churín,Asturias,Valdés,No,No,No,No,670 metros,-709505.906500001,5396895.1313,Bajo,Aislada
Playa de Cueva,Asturias,Valdés,Sí,Sí,Sí,No,580 metros,-720482.008299999,5396004.26,Medio,Semiurbana
Fontanecha,Asturias,Valdés,No,No,No,No,150 metros,-710908.532099999,5397018.0168,Bajo,Aislada
La Escaladina,Asturias,Valdés,No,No,No,No,210 metros,-724021.9681,5395912.1058,Bajo,Aislada
La Herbosa,Asturias,Valdés,No,No,No,No,380 metros,-720615.591699999,5397386.6832,Bajo,Aislada
Las Arreas,Asturias,Valdés,No,No,No,No,200 metros,-727038.726300001,5395727.8001,Bajo,Aislada
Los Molinos,Asturias,Valdés,No,No,No,No,200 metros,-722263.120200001,5395850.6701,Bajo,Aislada
Los Molinos,Asturias,Valdés,No,No,No,No,780 metros,-716051.492600001,5396634.005,Bajo,Aislada
Otur,Asturias,Valdés,Sí,Sí,Sí,Sí,600 metros,-734363.548799999,5396418.9653,Alto,Semiurbana
Perceberos,Asturias,Valdés,No,No,No,No,550 metros,-714659.9989,5396634.005,Bajo,Aislada
Picón,Asturias,Valdés,No,No,No,No,30 metros,-721628.599100001,5396434.3251,Bajo,Aislada
Plumineru,Asturias,Valdés,No,No,No,No,525 metros,-712867.755100001,5396956.5739,Bajo,Aislada
Portizuelo,Asturias,Valdés,No,No,No,No,220 metros,-725580.441,5395712.4415,Medio,Semiurbana
Primera y Segunda de Luarca,Asturias,Valdés,Sí,Sí,No,No,480 metros,-727751.171100002,5395435.9903,Alto,Urbana
Punxeo,Asturias,Valdés,No,No,No,No,400 metros,-717687.8891,5397724.6403,Bajo,Aislada
Ribón,Asturias,Valdés,No,No,No,No,160 metros,-708671.010299999,5396265.3685,Bajo,Aislada
Sabugo,Asturias,Valdés,No,No,No,No,200 metros,-735087.125500001,5396941.2132,Bajo,Aislada
Salinas,Asturias,Valdés,Sí,Sí,Sí,No,250 metros,-728307.7685,5395942.8237,Alto,Urbana
Santa Ana,Asturias,Valdés,No,No,No,No,360 metros,-716830.728999998,5397018.0168,Bajo,Aislada
Tablizo,Asturias,Valdés,No,No,No,No,230 metros,-707880.642000001,5396234.6495,Bajo,Aislada
Tourán,Asturias,Valdés,No,No,No,No,60 metros,-730033.220600002,5396034.9782,Bajo,Aislada
Turbeiriza,Asturias,Valdés,No,No,No,No,30 metros,-733840.347199999,5396480.4047,Bajo,Aislada
Vallinas,Asturias,Valdés,No,No,No,No,420 metros,-718545.049199998,5398139.4227,Bajo,Aislada
El Puntal,Asturias,Villaviciosa,Sí,No,No,No,150 metros,-599744.888599999,5392886.8852,Medio,Semiurbana
España,Asturias,Villaviciosa,Sí,No,No,No,440 metros,-615552.256299999,5395190.2629,Alto,Semiurbana
Ereses,Santa Cruz de Tenerife,Alajeró,No,No,No,No,250 metros,-1918591.4238,3252075.6409,Bajo,Aislada
Santiago,Santa Cruz de Tenerife,Alajeró,Sí,Sí,Sí,Sí,1.000 metros,-1914216.5678,3252630.5183,Medio,Urbana
Santa Catalina,Santa Cruz de Tenerife,Hermigua,Sí,No,No,No,1.000 metros,-1912435.456,3271484.6236,Medio,Aislada
Tapahuga,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,350 metros,-1912847.3381,3253387.2059,Bajo,Aislada
El Medio,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,350 metros,-1912535.6435,3253752.9533,Bajo,Aislada
Chinguarime,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,800 metros,-1912090.3656,3253904.3,Bajo,Aislada
El Guincho,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,200 metros,-1910197.9342,3255140.3608,Bajo,Aislada
La Roja,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,500 metros,-1909318.5102,3255972.8735,Bajo,Aislada
El Cabrito,Santa Cruz de Tenerife,San Sebastián de la Gomera,Sí,Sí,No,No,630 metros,-1908505.878,3256780.2072,Bajo,Aislada
La Guancha,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,500 metros,-1906824.9536,3258268.855,Bajo,Aislada
San Sebastián,Santa Cruz de Tenerife,San Sebastián de la Gomera,Sí,No,Sí,Sí,950 metros,-1904709.8833,3260287.6216,Medio,Urbana
La Cueva,Santa Cruz de Tenerife,San Sebastián de la Gomera,Sí,No,Sí,Sí,350 metros,-1904153.2859,3260502.1332,Medio,Urbana
Avalo,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,350 metros,-1904242.3415,3263101.7795,Bajo,Semiurbana
Aguila,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,330 metros,-1904353.6609,3265335.8551,Bajo,Aislada
Zamora,Santa Cruz de Tenerife,San Sebastián de la Gomera,No,No,No,No,120 metros,-1905121.7654,3266042.758,Bajo,Aislada
El Inglés,Santa Cruz de Tenerife,Valle Gran Rey,No,No,No,No,400 metros,-1931103.7346,3261637.8396,Medio,Aislada
Valle Gran Rey,Santa Cruz de Tenerife,Valle Gran Rey,Sí,No,No,No,1.400 metros,-1930413.5537,3260804.9789,Medio,Urbana
Vueltas,Santa Cruz de Tenerife,Valle Gran Rey,No,No,No,No,150 metros,-1929300.3588,3259391.7568,Medio,Urbana
La Sepultura,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,400 metros,-1919648.959,3274301.1132,Bajo,Aislada
Tamargada,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,200 metros,-1919971.7855,3274541.1103,Bajo,Aislada
Vallehermoso,Santa Cruz de Tenerife,Vallehermoso,Sí,No,Sí,No,300 metros,-1920517.251,3274579.005,Medio,Semiurbana
Arguamul,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,700 metros,-1925949.6422,3275134.8057,Bajo,Aislada
El Trigo,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,300 metros,-1929790.1646,3270651.1564,Bajo,Aislada
Alojera,Santa Cruz de Tenerife,Vallehermoso,Sí,No,No,No,300 metros,-1929645.4493,3269615.7081,Medio,Semiurbana
Argaga,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,350 metros,-1928465.4627,3259000.6231,Bajo,Aislada
Las Arenas,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,300 metros,-1928020.1847,3258407.6355,Medio,Aislada
La Rajita,Santa Cruz de Tenerife,Vallehermoso,No,No,No,No,500 metros,-1925649.0795,3255304.3365,Bajo,Aislada
Charco Azul,Santa Cruz de Tenerife,Frontera,No,No,No,No,8 metros,-2008248.1417,3218950.1168,Bajo,Aislada
Charco de los Sargos,Santa Cruz de Tenerife,Frontera,No,No,No,No,20 metros,-2005075.5362,3221843.8202,Bajo,Aislada
La Maceta,Santa Cruz de Tenerife,Frontera,Sí,Sí,No,No,40 metros,-2004774.9736,3221994.8128,Medio,Aislada
Punta Grande,Santa Cruz de Tenerife,Frontera,No,No,No,No,20 metros,-2002927.07,3223240.5655,Bajo,Urbana
Puerto de la Estaca,Santa Cruz de Tenerife,Valverde,No,No,No,No,600 metros,-1993119.8229,3221730.5768,Bajo,Semiurbana
Timijiraque,Santa Cruz de Tenerife,Valverde,Sí,No,Sí,No,350 metros,-1994244.1498,3220032.0386,Medio,Semiurbana
Las Playas,Santa Cruz de Tenerife,Valverde,No,No,No,No,3.500 metros,-1999042.0198,3213692.6901,Bajo,Aislada
Ajabo,Santa Cruz de Tenerife,Adeje,Sí,Sí,Sí,No,100 metros,-1868197.0903,3265045.5306,Medio,Semiurbana
La Enramada,Santa Cruz de Tenerife,Güímar,No,No,No,No,170 metros,-1825762.1004,3279948.4931,Bajo,Semiurbana
Callao,Santa Cruz de Tenerife,Güímar,No,No,No,No,1.490 metros,-1823825.1413,3284928.236,Bajo,Semiurbana
El Socorro,Santa Cruz de Tenerife,Güímar,No,No,No,No,1.010 metros,-1821498.564,3290162.7435,Bajo,Semiurbana
El Monis,Santa Cruz de Tenerife,Icod de los Vinos,No,No,No,No,130 metros,-1861517.9209,3297094.6487,Medio,Semiurbana
San Marcos,Santa Cruz de Tenerife,Icod de los Vinos,Sí,Sí,Sí,No,160 metros,-1861684.9001,3296765.6818,Alto,Urbana
Santo Domingo,Santa Cruz de Tenerife,La Guancha,No,No,No,No,70 metros,-1856297.0368,3298790.2214,Bajo,Aislada
Troche,Santa Cruz de Tenerife,San Cristóbal de La Laguna,No,No,No,No,390 metros,-1815810.138,3321169.1124,Bajo,Aislada
El Navío,Santa Cruz de Tenerife,San Cristóbal de La Laguna,No,No,No,No,350 metros,-1816188.6242,3321156.4369,Bajo,Aislada
Las Galgas,Santa Cruz de Tenerife,Adeje,No,No,Sí,No,50 metros,-1867685.0207,3264351.3017,Bajo,Semiurbana
El Pinque,Santa Cruz de Tenerife,Adeje,No,No,No,No,45 metros,-1867484.6456,3264073.6202,Medio,Semiurbana
Las Salinas,Santa Cruz de Tenerife,Adeje,No,No,No,No,45 metros,-1867328.7983,3263909.5383,Bajo,Semiurbana
El Puertito,Santa Cruz de Tenerife,Adeje,No,No,Sí,No,160 metros,-1866660.8814,3263328.9568,Medio,Semiurbana
Diego Hernández,Santa Cruz de Tenerife,Adeje,No,No,No,No,200 metros,-1865814.8532,3262660.0568,Medio,Aislada
Los Morteros,Santa Cruz de Tenerife,Adeje,No,No,No,No,60 metros,-1865503.1587,3262281.4489,Medio,Aislada
La Caleta,Santa Cruz de Tenerife,Adeje,No,No,No,No,60 metros,-1865213.728,3261700.9372,Medio,Semiurbana
El Duque,Santa Cruz de Tenerife,Adeje,Sí,Sí,Sí,Sí,390 metros,-1863866.7621,3260464.2779,Alto,Urbana
Fañabé,Santa Cruz de Tenerife,Adeje,Sí,Sí,Sí,No,600 metros,-1863221.1091,3259909.0799,Alto,Urbana
El Varadero,Santa Cruz de Tenerife,Adeje,No,No,Sí,No,25 metros,-1865402.9711,3261801.894,Bajo,Semiurbana
La Enramada,Santa Cruz de Tenerife,Adeje,No,Sí,Sí,No,325 metros,-1864835.2417,3261372.8329,Medio,Semiurbana
El Río,Santa Cruz de Tenerife,Arico,No,No,No,No,720 metros,-1834567.4722,3261549.5035,Bajo,Aislada
Callao Hondo,Santa Cruz de Tenerife,Arico,No,No,No,No,400 metros,-1833754.8399,3262483.3718,Bajo,Semiurbana
Tajao,Santa Cruz de Tenerife,Arico,No,No,No,No,50 metros,-1833598.9926,3262697.9182,Medio,Urbana
Los Abrigos,Santa Cruz de Tenerife,Arico,Sí,No,Sí,No,250 metros,-1829958.8453,3267014.81,Medio,Urbana
Cardones,Santa Cruz de Tenerife,Arico,No,No,No,No,120 metros,-1829725.0743,3266976.9365,Bajo,Aislada
Cueva de la Arena,Santa Cruz de Tenerife,Arico,No,No,No,No,70 metros,-1829324.3242,3267002.1855,Bajo,Aislada
Grande,Santa Cruz de Tenerife,Arico,No,No,Sí,No,310 metros,-1829224.1366,3268252.068,Medio,Semiurbana
Poris,Santa Cruz de Tenerife,Arico,Sí,No,Sí,No,110 metros,-1829146.213,3269691.4699,Alto,Urbana
El Bonito,Santa Cruz de Tenerife,Arico,No,No,No,No,180 metros,-1828712.067,3272608.623,Bajo,Aislada
El Sombrerito,Santa Cruz de Tenerife,Arico,No,No,No,No,100 metros,-1828700.935,3272798.0703,Bajo,Aislada
Aguadulce,Santa Cruz de Tenerife,Arico,No,No,No,No,110 metros,-1828433.7682,3273176.9729,Bajo,Aislada
Troya,Santa Cruz de Tenerife,Arona,No,No,Sí,No,650 metros,-1862675.6436,3257019.8937,Alto,Urbana
El Camisón,Santa Cruz de Tenerife,Arona,Sí,Sí,Sí,Sí,375 metros,-1862564.3241,3255657.5217,Alto,Urbana
Las Vistas,Santa Cruz de Tenerife,Arona,Sí,Sí,Sí,Sí,850 metros,-1861785.0877,3255607.0662,Alto,Urbana
Los Cristianos,Santa Cruz de Tenerife,Arona,Sí,No,Sí,No,345 metros,-1860950.1915,3255316.9501,Alto,Urbana
El Palmar,Santa Cruz de Tenerife,Arona,No,No,No,No,120 metros,-1859491.9062,3252252.1903,Alto,Semiurbana
El Callao,Santa Cruz de Tenerife,Arona,No,No,Sí,No,425 metros,-1859736.809,3250890.297,Bajo,Semiurbana
Los Enojados,Santa Cruz de Tenerife,Arona,No,No,No,No,80 metros,-1854950.0709,3250070.7048,Bajo,Semiurbana
Las Galletas,Santa Cruz de Tenerife,Arona,Sí,Sí,Sí,No,320 metros,-1854593.8486,3250070.7048,Medio,Urbana
La Ballena,Santa Cruz de Tenerife,Arona,No,No,No,No,30 metros,-1853636.5009,3250007.6613,Bajo,Urbana
Amarilla,Santa Cruz de Tenerife,San Miguel de Abona,No,No,No,No,50 metros,-1852189.3476,3250133.7486,Bajo,Semiurbana
Los Barqueros,Santa Cruz de Tenerife,Buenavista del Norte,No,Sí,No,No,80 metros,-1876846.6148,3296411.4188,Bajo,Aislada
Las Arenas,Santa Cruz de Tenerife,Buenavista del Norte,No,No,Sí,No,150 metros,-1878071.1292,3295842.0871,Alto,Aislada
Las Mujeres,Santa Cruz de Tenerife,Buenavista del Norte,No,No,No,No,100 metros,-1878416.2196,3295690.2694,Bajo,Aislada
El Fraile,Santa Cruz de Tenerife,Buenavista del Norte,No,No,No,No,420 metros,-1879073.0046,3295487.8484,Bajo,Aislada
La Ballenita,Santa Cruz de Tenerife,Buenavista del Norte,No,No,No,No,30 metros,-1883503.5203,3292249.5284,Medio,Aislada
La Viuda,Santa Cruz de Tenerife,Candelaria,No,No,Sí,No,250 metros,-1821932.71,3291971.2717,Medio,Semiurbana
Candelaria,Santa Cruz de Tenerife,Candelaria,No,Sí,No,No,590 metros,-1822233.2726,3293463.8069,Alto,Urbana
La Hornilla,Santa Cruz de Tenerife,Candelaria,No,No,Sí,No,50 metros,-1821954.9739,3294450.489,Medio,Urbana
Punta Larga,Santa Cruz de Tenerife,Candelaria,Sí,Sí,Sí,No,660 metros,-1821331.5847,3295867.3902,Medio,Urbana
Las Caletillas,Santa Cruz de Tenerife,Candelaria,Sí,Sí,Sí,No,60 metros,-1821231.3972,3296917.5116,Alto,Urbana
Tabaiba,Santa Cruz de Tenerife,El Rosario,No,No,No,No,40 metros,-1817891.8125,3299764.6399,Alto,Urbana
La Nea,Santa Cruz de Tenerife,El Rosario,No,Sí,Sí,No,210 metros,-1816478.0549,3300055.7138,Medio,Semiurbana
La Garañona,Santa Cruz de Tenerife,El Sauzal,No,No,No,No,1.300 metros,-1829613.7548,3310082.6382,Bajo,Aislada
Las Eras,Santa Cruz de Tenerife,Fasnia,No,No,No,No,150 metros,-1828222.2612,3273404.3196,Medio,Urbana
Los Roques,Santa Cruz de Tenerife,Fasnia,No,No,No,No,70 metros,-1827220.3858,3276701.2766,Bajo,Urbana
El Abrigo,Santa Cruz de Tenerife,Fasnia,No,No,No,No,230 metros,-1827075.6704,3276953.9502,Bajo,Aislada
El Muelle,Santa Cruz de Tenerife,Garachico,No,No,Sí,Sí,60 metros,-1866605.2216,3295804.1325,Medio,Urbana
La Caleta de Interián,Santa Cruz de Tenerife,Garachico,Sí,No,Sí,No,300 metros,-1869210.0977,3296107.7722,Medio,Urbana
Las Aguas,Santa Cruz de Tenerife,Garachico,No,No,No,No,250 metros,-1864790.7139,3295778.8295,Medio,Aislada
La Mareta,Santa Cruz de Tenerife,Granadilla de Abona,No,No,No,No,120 metros,-1845176.2196,3252870.1315,Bajo,Semiurbana
El Confital,Santa Cruz de Tenerife,Granadilla de Abona,No,No,No,No,210 metros,-1844630.7541,3252920.5769,Bajo,Aislada
El Médano,Santa Cruz de Tenerife,Granadilla de Abona,Sí,Sí,Sí,No,750 metros,-1841090.7943,3254534.9292,Alto,Urbana
La Jaquita,Santa Cruz de Tenerife,Granadilla de Abona,No,No,Sí,No,150 metros,-1840155.7106,3255329.5638,Medio,Urbana
La Pelada,Santa Cruz de Tenerife,Granadilla de Abona,No,No,No,No,80 metros,-1839176.0991,3256313.4615,Medio,Aislada
El Tanque del Vidrio,Santa Cruz de Tenerife,Granadilla de Abona,No,No,No,No,540 metros,-1837472.9109,3258092.2272,Bajo,Aislada
El Draguillo,Santa Cruz de Tenerife,Santa Cruz de Tenerife,No,No,No,No,150 metros,-1800603.8955,3322500.1083,Bajo,Aislada
Benijo,Santa Cruz de Tenerife,Santa Cruz de Tenerife,No,No,No,No,300 metros,-1801872.9377,3321790.2273,Medio,Aislada
