timestamp,machine_id,zone,temperature,vibration,lat,lon,status
2025-12-10 07:24:17,AGV-03,Almacen_B,53.38,2.15,40.417754,-3.705363,OK
2025-12-10 07:24:19,AGV-07,Almacen_B,58.93,2.39,40.418731,-3.704508,OK
2025-12-10 07:24:21,AGV-10,Recepcion,58.76,1.23,40.412898,-3.707341,OK
2025-12-10 07:24:23,AGV-03,Almacen_B,72.63,0.48,40.413393,-3.705011,OK
2025-12-10 07:24:25,AGV-10,Recepcion,47.29,0.87,40.41301,-3.698469,OK
2025-12-10 07:24:27,AGV-02,Ensamblaje,50.77,2.27,40.415925,-3.700393,OK
2025-12-10 07:24:29,AGV-05,Expediciones,73.81,1.8,40.412439,-3.699548,OK
2025-12-10 07:24:31,AGV-02,Recepcion,58.87,2.24,40.41198,-3.706054,OK
2025-12-10 07:24:33,AGV-06,Recepcion,52.39,1.34,40.41508,-3.706891,OK
2025-12-10 07:24:35,AGV-06,Recepcion,51.25,0.49,40.415087,-3.699075,OK
2025-12-10 07:24:37,AGV-05,Recepcion,47.44,1.73,40.415591,-3.707745,OK
2025-12-10 07:24:39,AGV-07,Recepcion,44.02,0.7,40.41312,-3.703384,OK
2025-12-10 07:24:41,AGV-03,Ensamblaje,55.06,2.87,40.413464,-3.700681,ERROR
2025-12-10 07:24:43,AGV-08,Expediciones,42.19,1.26,40.420114,-3.698496,OK
2025-12-10 07:24:45,AGV-03,Almacen_B,68.34,1.94,40.418577,-3.707754,OK
2025-12-10 07:24:47,AGV-09,Almacen_A,51.17,2.87,40.411695,-3.698824,ERROR
2025-12-10 07:24:49,AGV-04,Expediciones,51.19,1.49,40.417419,-3.707425,OK
2025-12-10 07:24:51,AGV-01,Almacen_B,49.79,1.2,40.420307,-3.707939,OK
2025-12-10 07:24:53,AGV-03,Almacen_A,59.44,0.92,40.41318,-3.707912,OK
2025-12-10 07:24:55,AGV-10,Ensamblaje,29.5,1.62,40.418303,-3.698954,OK
2025-12-10 07:24:57,AGV-09,Expediciones,69.51,0.77,40.417283,-3.701968,OK
2025-12-10 07:24:59,AGV-06,Almacen_B,48.55,1.76,40.419969,-3.707204,OK
2025-12-10 07:25:01,AGV-08,Ensamblaje,57.49,0.99,40.415198,-3.701585,OK
2025-12-10 07:25:03,AGV-06,Almacen_A,41.63,0.79,40.420519,-3.702497,OK
2025-12-10 07:25:05,AGV-03,Ensamblaje,40.93,0.31,40.41395,-3.703558,OK
2025-12-10 07:25:07,AGV-02,Almacen_A,65.99,2.45,40.419957,-3.707782,OK
2025-12-10 07:25:09,AGV-02,Expediciones,51.66,1.92,40.420149,-3.70253,OK
2025-12-10 07:25:11,AGV-02,Expediciones,81.73,1.26,40.416936,-3.706537,WARNING
2025-12-10 07:25:13,AGV-06,Ensamblaje,67.18,1.39,40.415766,-3.706652,OK
2025-12-10 07:25:15,AGV-06,Expediciones,65.09,1.3,40.411228,-3.7074,OK
2025-12-10 07:25:17,AGV-07,Almacen_B,41.69,2.44,40.4118,-3.703466,OK
2025-12-10 07:25:19,AGV-02,Ensamblaje,55.62,1.38,40.419126,-3.698833,OK
2025-12-10 07:25:21,AGV-05,Almacen_A,45.95,2.72,40.413356,-3.698186,OK
2025-12-10 07:25:23,AGV-09,Recepcion,49.67,3.0,40.411264,-3.703905,ERROR
2025-12-10 07:25:25,AGV-02,Recepcion,49.9,0.35,40.412243,-3.700059,OK
2025-12-10 07:25:27,AGV-05,Expediciones,43.76,1.29,40.413832,-3.707098,OK
2025-12-10 07:25:29,AGV-10,Almacen_A,56.08,0.29,40.418943,-3.703743,OK
2025-12-10 07:25:31,AGV-04,Almacen_B,61.02,1.24,40.413727,-3.703253,OK
2025-12-10 07:25:33,AGV-01,Expediciones,55.79,1.72,40.416623,-3.699915,OK
2025-12-10 07:25:35,AGV-04,Expediciones,47.3,1.62,40.414459,-3.7028,OK
2025-12-10 07:25:37,AGV-04,Almacen_B,47.96,1.96,40.41532,-3.707681,OK
2025-12-10 07:25:39,AGV-07,Recepcion,54.87,1.76,40.414438,-3.702514,OK
2025-12-10 07:25:41,AGV-10,Ensamblaje,72.4,2.61,40.420062,-3.707827,OK
2025-12-10 07:25:43,AGV-05,Almacen_A,70.59,2.35,40.417809,-3.705551,OK
2025-12-10 07:25:45,AGV-09,Expediciones,56.35,0.96,40.414421,-3.700018,OK
2025-12-10 07:25:47,AGV-08,Almacen_B,60.61,2.78,40.417361,-3.70372,OK
2025-12-10 07:25:49,AGV-04,Ensamblaje,55.72,2.74,40.411481,-3.699969,OK
2025-12-10 07:25:51,AGV-04,Almacen_B,72.23,0.24,40.414169,-3.703827,OK
2025-12-10 07:25:53,AGV-07,Almacen_B,51.99,1.16,40.414064,-3.702237,OK
2025-12-10 07:25:55,AGV-01,Recepcion,61.7,0.51,40.414335,-3.707939,OK
2025-12-10 07:25:57,AGV-07,Expediciones,60.73,0.85,40.420634,-3.699597,OK
2025-12-10 07:25:59,AGV-02,Almacen_B,66.69,1.59,40.412129,-3.699655,OK
2025-12-10 07:26:01,AGV-02,Expediciones,54.45,0.93,40.41635,-3.702143,OK
2025-12-10 07:26:03,AGV-08,Recepcion,53.13,2.52,40.418859,-3.698838,OK
2025-12-10 07:26:05,AGV-03,Ensamblaje,63.47,2.98,40.411657,-3.699789,ERROR
2025-12-10 07:26:07,AGV-05,Almacen_B,55.28,1.01,40.418144,-3.704764,OK
2025-12-10 07:26:09,AGV-06,Recepcion,48.32,2.74,40.414721,-3.7075,OK
2025-12-10 07:26:11,AGV-07,Almacen_B,37.82,0.97,40.417745,-3.702315,OK
2025-12-10 07:26:13,AGV-06,Recepcion,44.76,0.49,40.414294,-3.707654,OK
2025-12-10 07:26:15,AGV-10,Almacen_A,54.67,1.93,40.419832,-3.707188,OK
2025-12-10 07:26:17,AGV-03,Almacen_B,41.0,2.66,40.411427,-3.699167,OK
2025-12-10 07:26:19,AGV-05,Recepcion,49.39,0.22,40.415262,-3.702489,OK
2025-12-10 07:26:21,AGV-06,Almacen_B,78.58,0.02,40.413409,-3.699763,WARNING
2025-12-10 07:26:23,AGV-10,Almacen_A,57.66,1.12,40.413433,-3.699659,OK
2025-12-10 07:26:25,AGV-01,Recepcion,42.72,0.83,40.413056,-3.704868,OK
2025-12-10 07:26:27,AGV-04,Expediciones,55.47,0.59,40.413047,-3.707546,OK
2025-12-10 07:26:29,AGV-09,Ensamblaje,52.09,1.95,40.414982,-3.704101,OK
2025-12-10 07:26:31,AGV-03,Almacen_B,45.82,1.95,40.41199,-3.704003,OK
2025-12-10 07:26:33,AGV-08,Expediciones,53.92,0.77,40.415072,-3.699936,OK
2025-12-10 07:26:35,AGV-09,Almacen_B,63.24,0.62,40.411497,-3.705131,OK
2025-12-10 07:26:37,AGV-01,Ensamblaje,57.29,0.6,40.413102,-3.698804,OK
2025-12-10 07:26:39,AGV-02,Expediciones,57.67,2.11,40.420718,-3.701554,OK
2025-12-10 07:26:41,AGV-04,Ensamblaje,41.98,0.2,40.420888,-3.706533,OK
2025-12-10 07:26:43,AGV-07,Almacen_A,47.94,0.12,40.419562,-3.707941,OK
2025-12-10 07:26:45,AGV-05,Expediciones,76.74,2.08,40.420475,-3.704198,WARNING
2025-12-10 07:26:47,AGV-01,Expediciones,55.68,1.91,40.417248,-3.703178,OK
2025-12-10 07:26:49,AGV-05,Expediciones,47.84,2.05,40.417251,-3.702785,OK
2025-12-10 07:26:51,AGV-07,Recepcion,36.37,2.76,40.414161,-3.705156,OK
2025-12-10 07:26:53,AGV-06,Recepcion,64.56,0.25,40.414329,-3.701884,OK
2025-12-10 07:26:55,AGV-04,Expediciones,40.87,2.71,40.420245,-3.699576,OK
2025-12-10 07:26:57,AGV-09,Recepcion,58.36,2.52,40.416369,-3.698544,OK
2025-12-10 07:26:59,AGV-01,Almacen_B,51.86,2.79,40.420272,-3.698796,OK
2025-12-10 07:27:01,AGV-09,Almacen_A,68.18,1.59,40.418622,-3.700524,OK
2025-12-10 07:27:03,AGV-01,Recepcion,53.91,1.22,40.41551,-3.704988,OK
2025-12-10 07:27:05,AGV-04,Almacen_B,53.69,2.95,40.419533,-3.702795,ERROR
2025-12-10 07:27:07,AGV-10,Almacen_A,58.51,2.57,40.413666,-3.700352,OK
2025-12-10 07:27:09,AGV-08,Expediciones,66.35,1.89,40.420837,-3.707875,OK
2025-12-10 07:27:11,AGV-03,Almacen_B,55.66,2.54,40.412391,-3.70446,OK
2025-12-10 07:27:13,AGV-01,Almacen_A,76.87,1.03,40.420028,-3.701069,WARNING
2025-12-10 07:27:15,AGV-04,Almacen_B,52.18,0.12,40.415328,-3.699673,OK
2025-12-10 07:27:17,AGV-01,Expediciones,58.21,1.58,40.420424,-3.705068,OK
2025-12-10 07:27:19,AGV-09,Ensamblaje,47.0,2.48,40.419572,-3.707744,OK
2025-12-10 07:27:21,AGV-10,Almacen_B,48.57,1.51,40.419156,-3.70765,OK
2025-12-10 07:27:23,AGV-03,Recepcion,58.71,0.68,40.411422,-3.704832,OK
2025-12-10 07:27:25,AGV-10,Almacen_B,65.57,2.41,40.411847,-3.698213,OK
2025-12-10 07:27:27,AGV-05,Almacen_B,50.7,0.7,40.411001,-3.699619,OK
2025-12-10 07:27:29,AGV-01,Recepcion,57.31,2.11,40.416777,-3.702363,OK
2025-12-10 07:27:31,AGV-03,Expediciones,61.74,2.85,40.412269,-3.706006,ERROR
2025-12-10 07:27:33,AGV-09,Ensamblaje,59.65,1.99,40.417133,-3.700284,OK
2025-12-10 07:27:35,AGV-06,Almacen_B,47.14,2.0,40.416562,-3.707907,OK
2025-12-10 07:27:37,AGV-04,Almacen_A,41.87,1.14,40.416113,-3.70744,OK
2025-12-10 07:27:39,AGV-05,Expediciones,51.47,0.11,40.414925,-3.703244,OK
2025-12-10 07:27:41,AGV-03,Ensamblaje,33.84,2.12,40.414418,-3.704198,OK
2025-12-10 07:27:43,AGV-02,Almacen_B,57.46,0.23,40.418386,-3.703478,OK
2025-12-10 07:27:45,AGV-09,Ensamblaje,52.49,2.17,40.419446,-3.706952,OK
2025-12-10 07:27:47,AGV-09,Almacen_A,57.77,2.37,40.419242,-3.707844,OK
2025-12-10 07:27:49,AGV-03,Expediciones,71.21,0.2,40.417671,-3.702614,OK
2025-12-10 07:27:51,AGV-03,Recepcion,47.89,0.86,40.41285,-3.704742,OK
2025-12-10 07:27:53,AGV-04,Expediciones,64.39,0.23,40.415862,-3.707424,OK
2025-12-10 07:27:55,AGV-05,Almacen_B,50.91,2.97,40.414138,-3.706231,ERROR
2025-12-10 07:27:57,AGV-10,Expediciones,48.06,1.52,40.417602,-3.703393,OK
